start,tenor,f_irs,f_ois
1,1,0.031922310056659756,0.0034947783831640322
1,2,0.033216806432696123,0.0035197836220035583
1,3,0.033982393920577565,0.003661724088424023
1,5,0.035236694463315184,0.003996774552277316
1,10,0.038406342355616595,0.004734020184580245
5,1,0.039257903594102236,0.0050028120051415215
5,2,0.04005906252468659,0.0050028120051415215
5,3,0.040044613419108116,0.005171454790477981
5,5,0.04105961341475881,0.005306369075661621
5,10,0.043565860739049236,0.005566836103767514
10,1,0.042041775733842074,0.005827303320362631
10,2,0.042963861204132085,0.005827303320362631
10,3,0.043941981378484055,0.005827303320362631
10,5,0.04609151371347235,0.005827303320362631
10,10,0.0531468074109231,0.005867751246650954
